title,metacritic_score
The Twilight Samurai,82
Downfall,82
The Spectacular Now,82
Let the Right One In,82
The Namesake,82
Frances Ha,82
A Quiet Place,82
Sugar,82
Waking Life,82
Late Marriage,82
War for the Planet of the Apes,82
Duma,82
The Constant Gardener,82
Short Term 12,82
Parenthood,82
Star Wars: Episode V - The Empire Strikes Back,82
Our Beloved Month of August,82
The Wind That Shakes the Barley,82
Star Trek,82
Face/Off,82
The Lobster,82
2001: A Space Odyssey,82
Pride & Prejudice,82
The Squid and the Whale,82
Winged Migration,82
Quince Tree of the Sun,82
The Nightmare Before Christmas,82
The School of Rock,82
Rams,82
Nuts!,82
The Celebration,82
The Dark Knight,82
Days of Glory,82
My Summer of Love,82
Approaching the Elephant,82
"Flamenco, Flamenco",82
Archipelago,82
Mysteries of Lisbon,82
Mademoiselle Chambon,82
Burma VJ: Reporter i et lukket land,82
Memories of Murder,82
Taxi to the Dark Side,82
The Return,82
Lilya 4-Ever,82
Read My Lips,82
Get Shorty,82
Frozen River,82
Drugstore Cowboy,82
Heal the Living,82
Wildlife,82
Side by Side,82
Sieranevada,82
Under African Skies,82
Embrace of the Serpent,82
Requiem,82
The Love Witch,82
Marjorie Prime,82
Down and Out in Beverly Hills,82
Footnote,82
Steve Jobs,82
Marley,82
The White Ribbon,82
The Agronomist,82
Touching the Void,82
Three Kings,82
Rachel Getting Married,82
Certain Women,82
Le Havre,82
To Be Heard,82
Skate Kitchen,82
Chicago,82
One Day in September,82
Once Upon a Time in Anatolia,82
Neruda,82
Blancanieves,82
Monsieur Lazhar,82
Venus,82
Leave No Trace,82
Nowhere to Hide,82
The Second Mother,82
These Birds Walk,82
Rivers and Tides: Andy Goldsworthy Working with Time,82
Ajami,82
Viola,82
127 Hours,82
Tell No One,82
The Illusionist,82
The Deep Blue Sea,82
The End of the Tour,82
Enron: The Smartest Guys in the Room,82
Forrest Gump,82
Ornette: Made in America (1985),82
"Good Bye, Dragon Inn",82
Safe Conduct,82
Leaving Las Vegas,82
War for the Planet of the Apes,82
Eastern Promises,82
Sicario,82
George Washington,82
Stranded: I've Come from a Plane That Crashed on the Mountains,82
Creed,82
Love Is Strange,82
The Maid,82
The Girl Without Hands,82
Stranger by the Lake,82
Ten Canoes,82
Isle of Dogs,82
Gilles' Wife,82
Cowards Bend the Knee or The Blue Hands,82
Merci pour le Chocolat,82
The Filth and the Fury,82
A Simple Plan,82
Il Postino: The Postman,81
I'm the One That I Want,81
The Blair Witch Project,81
Flirting with Disaster,81
Two Step,81
In Jackson Heights,81
King Kong,81
Daughters of the Dust,81
Hairspray,81
Whose Streets?,81
Hell and Back Again,81
Harry Potter and the Goblet of Fire,81
The General,81
Ballets Russes,81
Hunt for the Wilderpeople,81
Inherent Vice,81
Wattstax (re-released),81
Sister,81
Goodnight Mommy,81
First Reformed,81
Waiting for 'Superman',81
Elaine Stritch: Shoot Me,81
Starred Up,81
Midnight in Paris,81
A War,81
Star Wars: Episode VII - The Force Awakens,81
The World's End,81
"Tuesday, After Christmas",81
The Story of the Weeping Camel,81
Chaos,81
Crimson Gold,81
Faat Kiné,81
Menashe,81
District 9,81
Bonnie and Clyde,81
Paprika,81
Picnic at Hanging Rock,81
Ai Weiwei: Never Sorry,81
The Guardians,81
"Right Now, Wrong Then",81
Bad Education,81
"You, the Living",81
Silver Linings Playbook,81
A Self-Made Hero,81
Ava,81
"Norte, the End of History",81
Buena Vista Social Club,81
The World,81
A Girl Walks Home Alone at Night,81
"Police, Adjective",81
Elena,81
Bridge of Spies,81
Locke,81
Coco,81
Living in Oblivion,81
Coming Home,81
Katyn,81
Closet Monster,81
Pete Seeger: The Power of Song,81
Top Five,81
The Secret of Kells,81
Four Weddings and a Funeral,81
Master and Commander: The Far Side of the World,81
Truman,81
Blue Valentine,81
Juno,81
Shaun the Sheep Movie,81
Arrival,81
The Levelling,81
Fresh,81
Wadjda,81
Western,81
Georgia,81
The Damned United,81
A Mighty Wind,81
The Deer Hunter,81
A History of Violence,81
The Revolution Will Not Be Televised,81
Eden,81
Experimenter,81
At Berkeley,81
Driving Miss Daisy,81
White Material,81
Step,81
The Man Who Fell to Earth,81
Hot Fuzz,81
My Architect,81
Jackie,81
Best Worst Thing That Ever Could Have Happened,81
A River Below,81
No,81
Little Shop of Horrors,81
Fish Tank,81
Leviathan,81
Il Divo,81
Juliet of the Spirits (re-release),81
Revenge,81
Wrinkles,81
Under the Sun,81
Raw,81
The Station Agent,81
Weekend,81
Wait Until Dark,81
The Headless Woman,81
Bright Star,81
Private Life,81
Mandy,81
The China Syndrome,81
Autumn Tale,81
Bamako,81
Beginners,81
Twinsters,81
"Arabian Nights: Volume 2, The Desolate One",81
Dolores,81
Foxcatcher,81
Django Unchained,81
Blade Runner 2049,81
Grin Without a Cat,81
Still Life,81
Upstream Color,81
Consuming Spirits,81
In the Company of Men,81
Of Time and the City,81
Skyfall,81
Cousin Jules,81
Blood Simple,81
The Wrestler,81
Tchoupitoulas,81
Gimme the Loot,81
Searching,81
Thunder Soul,81
Chris & Don. A Love Story,81
Closed Curtain,81
The Empty Hours,81
Happiness,81
The Big Short,81
The Devil's Miner,81
Black Orpheus,81
Moana,81
A Pigeon Sat on a Branch Reflecting on Existence,81
The Wailing,81
White Sun,81
Tristram Shandy: A Cock and Bull Story,80
Coraline,80
Il Futuro,80
Lorenzo's Oil,80
Tokyo Sonata,80
Glengarry Glen Ross,80
In the Mirror of Maya Deren,80
Berberian Sound Studio,80
Finders Keepers,80
